gameId,playId,blockPlayer,rushPlayer,defWin,defHit,defHurry,defSack
2021090900,97,40151,44955,0,0,0,0
2021090900,97,42377,42403,0,0,1,0
2021090900,97,42404,44955,0,0,0,0
2021090900,97,46163,53441,0,0,1,0
2021090900,97,52421,53441,0,0,1,0
2021090900,137,37082,35454,0,0,0,0
2021090900,137,42654,40074,0,0,0,0
2021090900,137,46119,35441,0,0,0,0
2021090900,137,47873,46081,0,0,0,0
2021090900,137,52554,35441,0,0,0,0
2021090900,187,37082,35454,0,0,0,0
2021090900,187,42654,35441,0,0,0,0
2021090900,187,46119,46081,0,0,0,0
2021090900,187,47873,35441,0,0,0,0
2021090900,187,52554,46081,0,0,0,0
2021090900,282,37082,34777,0,0,0,0
2021090900,282,42654,40074,0,0,0,0
2021090900,282,45532,46132,0,0,0,0
2021090900,282,46119,34777,0,0,0,0
2021090900,282,46206,41915,0,0,0,0
2021090900,282,47873,40074,0,0,0,0
2021090900,282,52554,42560,0,0,0,0
2021090900,349,37082,46081,0,0,0,0
2021090900,349,42654,35441,0,0,0,0
2021090900,349,43293,38588,0,1,0,0
2021090900,349,46119,35454,0,0,0,0
2021090900,349,47873,41915,0,0,0,0
2021090900,349,52554,35454,0,0,0,0
2021090900,410,40151,53504,0,0,0,0
2021090900,410,42377,53441,0,0,0,0
2021090900,410,42404,42403,0,0,0,0
2021090900,410,46163,44955,0,0,0,0
2021090900,410,52421,41263,0,0,0,0
2021090900,434,40151,NA,0,0,0,0
2021090900,434,42377,42403,0,0,0,0
2021090900,434,42404,53504,0,0,0,0
2021090900,434,44816,53441,0,0,0,0
2021090900,434,46163,44955,0,0,0,0
2021090900,434,52421,41263,0,0,0,0
2021090900,456,40151,41263,0,0,0,0
2021090900,456,42377,42403,0,0,0,0
2021090900,456,42404,53504,0,0,0,0
2021090900,456,46163,44955,0,0,0,0
2021090900,456,52421,41263,0,0,0,0
2021090900,480,40151,41363,0,0,0,0
2021090900,480,42377,46185,0,0,0,0
2021090900,480,42404,53621,0,0,0,0
2021090900,480,46163,41363,0,0,0,0
2021090900,480,52421,44892,0,0,0,0
2021090900,509,40151,41363,0,0,0,0
2021090900,509,42377,46185,0,0,0,0
2021090900,509,42404,53621,0,0,0,0
2021090900,509,46163,41363,0,0,0,0
2021090900,509,52421,44892,0,0,0,0
2021090900,559,40151,41263,0,0,0,0
2021090900,559,42377,42403,1,0,0,0
2021090900,559,42404,53504,1,0,0,0
2021090900,559,46163,44955,0,0,0,0
