nflId,displayName,max_speed,max_accel,officialPosition
40151,Ryan Jensen,9.521978840000001,11.10597532,C
42377,Donovan Smith,9.7199784,14.219968400000003,T
42404,Ali Marpet,11.717973960000002,13.229970600000001,G
46163,Alex Cappa,8.009982200000001,9.68397848,G
52421,Tristan Wirfs,11.843973680000001,10.9799756,T
37082,Tyron Smith,9.75597832,9.55797876,T
42654,La'el Collins,8.369981400000002,8.729980600000001,T
46119,Connor Williams,10.007977760000001,10.655976320000002,G
47873,Connor McGovern,7.685982920000001,10.079977600000001,G
52554,Tyler Biadasz,10.763976080000003,10.9799756,C
41232,Jake Matthews,9.107979760000001,13.517969960000002,T
47797,Chris Lindstrom,10.115977520000001,8.657980760000001,G
47814,Kaleb McGary,10.619976400000002,12.095973120000002,T
52486,Matt Hennessy,9.9899778,14.56196764,C
53497,Jalen Mayfield,9.43197904,11.48397448,G
37266,Jason Kelce,10.781976040000002,8.99998,C
38606,Brandon Brooks,6.677985160000001,10.619976400000002,G
39950,Lane Johnson,8.765980520000001,9.341979240000002,T
43368,Isaac Seumalo,9.359979200000001,9.665978520000001,G
46302,Jordan Mailata,10.763976080000003,11.03397548,T
53543,Drew Dalman,11.591974240000003,5.0039888800000005,C
42392,Mitch Morse,9.77397828,10.799976000000001,C
42445,Daryl Williams,9.79197824,8.11798196,T
42471,Jon Feliciano,11.591974240000003,10.601976440000001,G
44875,Dion Dawkins,9.665978520000001,8.837980360000001,T
47821,Cody Ford,10.313977080000003,7.775982720000002,G
41321,Trai Turner,8.387981360000001,7.901982440000001,G
46161,Chukwuma Okorafor,8.945980120000002,8.06398208,T
52543,Kevin Dotson,8.56798096,8.531981040000002,G
53516,Kendrick Green,8.675980720000002,6.929984600000001,C
53557,Dan Moore,9.43197904,8.369981400000002,T
46689,Ike Boettger,8.2799816,10.097977560000002,G
53522,Spencer Brown,12.959971200000002,12.27597272,T
46404,J.C. Hassenauer,4.89598912,4.373990280000001,C
39684,Greg Van Roten,10.745976120000002,12.27597272,G
43433,Connor McGovern,12.563972080000001,10.511976640000002,C
43586,George Fant,11.62797416,12.45597232,T
52419,Mekhi Becton,7.6319830400000015,6.767984960000001,T
53443,Alijah Vera-Tucker,9.737978360000001,8.441981240000002,G
41436,Matt Paradis,8.6399808,9.953977880000002,C
42362,Cameron Erving,9.179979600000001,9.7199784,T
44876,Taylor Moton,9.64797856,13.211970640000002,T
44882,Pat Elflein,8.17198184,6.371985840000001,C
47995,Dennis Daley,10.619976400000002,11.285974920000001,G
46755,Trenton Scott,8.387981360000001,8.20798176,T
41295,Morgan Moses,11.03397548,9.39597912,T
43640,Rashod Hill,9.77397828,19.54795656,T
46131,Brian O'Neill,10.637976360000001,10.799976000000001,T
47801,Garrett Bradbury,8.62198084,9.521978840000001,C
47976,Olisaemeka Udoh,9.86397808,9.6299786,T
52466,Ezra Cleveland,10.475976720000002,12.54597212,G
38553,Riley Reiff,10.043977680000001,11.0699754,T
41262,Xavier Su'a-Filo,8.909980200000001,10.619976400000002,G
41619,Trey Hopkins,10.06197764,6.22798616,C
43045,Quinton Spain,8.873980280000001,11.843973680000001,G
47794,Jonah Williams,10.763976080000003,9.305979320000002,T
43453,Halapoulivaati Vaitai,9.161979640000002,15.497965560000003,G
